codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,68.5,68.5,1054.54103,0.6852
ABSP12,150.0,150.0,1030.589092,1.5004
ACOV15,159.8,159.8,992.626533,1.5982
ADPA21,298.7,298.7,999.463801,2.9874
AEGE16,526.4,526.4,1004.798713,5.2642
AEGE17,534.8,534.8,929.869904,5.3478
AEGP17,261.2,261.2,342.459192,2.6125
AEGP19,342.7,342.7,1016.372559,3.4267
AEGPA4,332.6,332.6,1025.363426,3.3263
AEGPA9,380.2,380.2,1060.675535,3.8022
AEGPB3,369.1,369.1,987.04949,3.6905
AEGPB5,359.2,359.2,947.566098,3.5925
AEGPB7,295.8,295.8,1045.291566,2.9577
AERI11,,,118.380328,
AERI12,,,149.561316,
AESLA8,47.9,47.9,1005.767303,0.4788
AGAU13,474.9,474.9,523.976188,4.7489
AGPI11,,,,
ALGAA2,109.1,109.1,1075.652449,1.0914
ALGTA5,109.0,109.0,1068.201972,1.0896
ALGTA6,111.4,111.4,1055.781875,1.1142
ALPA22,80.2,80.2,1021.892754,0.8017
ALTF11,58.9,58.9,519.546984,0.5892
AMBP16,,,151.214951,
ANHBA5,55.7,55.7,1015.875972,0.5569
ANHBA6,61.2,61.2,1058.225932,0.6115
ANIM15,143.8,143.8,768.342641,1.4376
ANIM17,142.4,142.4,1019.794868,1.4238
ANIM18,149.5,149.5,1028.428023,1.4953
APPSB2,138.7,138.7,657.321642,1.3872
APRB28,65.6,65.6,311.303617,0.6564
ARML13,215.0,215.0,1024.948698,2.15
ARML14,249.3,249.3,1022.725799,2.4927
ARML15,265.3,265.3,990.007242,2.6529
ARML25,293.1,293.1,980.071899,2.931
ARML26,321.1,321.1,968.826423,3.2111
ARTRA1,158.3,158.3,348.073184,1.5829
ARTRA4,209.7,209.7,1060.674673,2.0971
ARTRA5,223.7,223.7,1033.845205,2.2372
ASAI18,137.3,137.3,1007.719144,1.3726
ASAI19,178.2,178.2,1026.109513,1.7823
ASAI22,163.1,163.1,1018.790129,1.6308
ASAI28,182.8,182.8,1003.774192,1.8282
ASAIA0,178.3,178.3,990.000017,1.783
ASAIA1,192.2,192.2,1021.093516,1.9219
ASAIA2,192.0,192.0,988.128107,1.9201
ASAIA3,193.5,193.5,989.881058,1.9345
AURE13,81.2,81.2,1019.695206,0.8117
AZZA11,144.7,144.7,1029.421307,1.4467
AZZA12,156.5,156.5,1043.061883,1.5648
BCBF16,538.4,538.4,669.021579,5.3842
BCPSA4,37.5,37.5,1055.942752,0.375
BCPSA6,48.2,48.2,1029.621449,0.4823
BKBR19,152.0,152.0,514.14788,1.5198
BRIT11,96.7,96.7,705.3391,0.9669
BRIT12,130.6,130.6,1076.82492,1.3055
BRKMA6,,,496.936193,
BRKMA8,,,490.773179,
BRKMB6,,,482.430555,
BRKMB8,,,491.239562,
BRKPA0,243.7,243.7,402.073204,2.4368
BRKPA2,263.9,263.9,1070.2619,2.6391
BRKPA3,265.2,265.2,1062.814765,2.6521
BRKPA4,277.1,277.1,1001.723694,2.7705
BRMLA1,47.6,47.6,1054.021098,0.4759
BRMLB1,60.1,60.1,1065.873477,0.6007
BRST14,155.0,155.0,1011.539897,1.55
BSA312,43.6,43.6,10241.907887,0.4358
BSA318,36.3,36.3,1014.430741,0.363
BSA319,55.6,55.6,1067.168496,0.5559
BSA3A0,37.6,37.6,1039.534467,0.3757
BTGH18,111.2,111.2,1013.958387,1.1125
CAEC13,151.0,151.0,1050.392048,1.5098
CAEC22,120.7,120.7,1023.366016,1.2067
CAEC32,140.4,140.4,1039.194644,1.4044
CAMLA1,169.0,169.0,1019.927264,1.6902
CAMLB1,165.7,165.7,1020.467642,1.6571
CASN13,262.6,262.6,810.852853,2.6256
CASN14,246.3,246.3,1001.320375,2.4634
CBAN22,79.0,79.0,929.898304,0.7897
CBOH11,152.5,152.5,1016.801426,1.5252
CBRDB8,,,,
CCROA7,38.5,38.5,1072.171401,0.3847
CDAR11,159.1,159.1,1039.908307,1.5908
CDES12,140.0,140.0,1051.286489,1.4
CDGS26,78.6,78.6,1077.502574,0.7858
CEAB13,103.9,103.9,1076.120486,1.0387
CEAB14,87.1,87.1,1038.082318,0.8708
CEAB22,74.7,74.7,519.671878,0.7465
CEAP15,78.0,78.0,1025.001538,0.7804
CEAP16,78.3,78.3,1053.272964,0.7829
CEBD14,115.3,115.3,1056.773059,1.1528
CEBD25,104.9,104.9,1015.370993,1.0494
CEEBA3,90.1,90.1,1029.41219,0.9006
CEEBA6,147.4,147.4,1063.420656,1.474
CEEBA7,65.3,65.3,1026.750832,0.653
CEEBA8,62.3,62.3,1013.804696,0.6225
