codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,68.1,68.1,1057.03463,0.6809
ABSP12,149.0,149.0,1033.03198,1.49
ACOV15,159.3,159.3,995.04975,1.5931
ADPA21,272.7,272.7,1005.437796,2.7271
AEGE16,524.1,524.1,1008.291761,5.2406
AEGE17,532.9,532.9,932.925256,5.3289
AEGP17,250.1,250.1,343.596268,2.5006
AEGP19,339.2,339.2,1019.4104,3.3919
AEGPA4,331.8,331.8,1028.149938,3.3183
AEGPA9,379.4,379.4,980.812088,3.7938
AEGPB3,373.3,373.3,988.022431,3.7328
AEGPB5,358.9,358.9,949.952268,3.5893
AEGPB7,290.4,290.4,1048.771968,2.9045
AERI11,,,118.037222,
AERI12,,,146.334546,
AESLA8,48.7,48.7,1007.764536,0.4874
AGAU13,471.2,471.2,525.585223,4.7124
AGPI11,,,,
ALGAA2,107.8,107.8,1078.365845,1.0776
ALGTA5,105.4,105.4,1071.996893,1.0537
ALGTA6,113.6,113.6,1057.295229,1.1362
ALPA22,80.0,80.0,1024.265431,0.8
ALTF11,61.8,61.8,520.61075,0.6183
AMBP16,,,152.599354,
ANHBA5,56.1,56.1,1017.948259,0.5615
ANHBA6,60.6,60.6,1060.734456,0.6064
ANIM15,141.9,141.9,770.368621,1.4194
ANIM17,141.2,141.2,1022.419223,1.4119
ANIM18,146.2,146.2,1031.657915,1.4615
APFL18,140.6,140.6,1060.770899,1.4064
APPSB2,138.9,138.9,658.843261,1.3888
APRB28,65.3,65.3,311.999279,0.6528
ARML13,214.1,214.1,1027.665395,2.1411
ARML14,248.2,248.2,1025.541366,2.4821
ARML15,265.5,265.5,992.222918,2.6549
ARML25,292.4,292.4,982.583163,2.9242
ARML26,326.1,326.1,969.645177,3.2606
ARTRA1,158.4,158.4,348.890088,1.5838
ARTRA4,210.0,210.0,1063.233622,2.1
ARTRA5,224.0,224.0,1036.349239,2.2397
ASAI18,137.2,137.2,1010.069893,1.3721
ASAI19,178.4,178.4,1028.502964,1.7839
ASAI22,162.9,162.9,1021.225955,1.6287
ASAI28,182.4,182.4,1006.273267,1.8238
ASAIA0,184.9,184.9,990.973826,1.8488
ASAIA1,191.0,191.0,1023.77319,1.9101
