codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,79.9,79.9,1084.430746,0.799
AALR13,679.8,679.8,723.743144,6.798
ABSP12,159.3,159.3,1061.653906,1.5926
ADPA21,230.6,230.6,1071.537729,2.306
AEGE16,300.6,300.6,1118.735924,3.0057
AEGE17,325.7,325.7,1040.998375,3.2569
AEGP17,164.4,164.4,709.712771,1.6436
AEGP19,169.1,169.1,1066.879339,1.6912
AEGPA4,223.4,223.4,1072.392566,2.2339
AEGPA9,252.7,252.7,1033.219159,2.5269
AEGPB3,227.5,227.5,984.388005,2.2753
AEGPB5,216.1,216.1,1017.621094,2.1607
AEGPB7,224.9,224.9,1091.374092,2.2489
AERI11,,,120.825309,
AERI12,,,169.201093,
AESLA8,45.9,45.9,1031.485346,0.459
AGAU13,442.9,442.9,1086.614321,4.4291
AGPI11,170.0,170.0,1028.437472,1.7
ALGAA2,105.4,105.4,1028.152302,1.054
ALGTA5,109.1,109.1,1020.339378,1.0908
ALGTA6,114.2,114.2,1007.172426,1.142
ALPA22,76.5,76.5,1051.588892,0.7652
ALTF11,101.2,101.2,514.700093,1.012
AMBP16,,,170.599994,
ANHBA5,55.0,55.0,1041.100446,0.5502
ANHBA6,60.4,60.4,1012.306862,0.604
ANIM15,160.3,160.3,1048.856596,1.603
ANIM17,170.3,170.3,1040.942818,1.703
ANIM18,188.9,188.9,1034.550506,1.8891
APPSB2,127.6,127.6,813.9763,1.2762
APRB28,66.5,66.5,425.746522,0.6646
ARML13,175.7,175.7,1063.943976,1.757
ARML14,195.8,195.8,1071.841454,1.9582
ARML15,195.1,195.1,1042.752191,1.951
ARML25,242.1,242.1,1029.336333,2.421
ARML26,213.1,213.1,1026.86065,2.1307
ARTRA1,118.1,118.1,721.182504,1.1811
ARTRA4,169.8,169.8,1020.157907,1.6985
ARTRA5,167.5,167.5,1081.007822,1.6753
ASAI18,138.3,138.3,1036.096301,1.3826
ASAI19,156.2,156.2,1058.894012,1.5619
ASAI22,147.6,147.6,1049.618733,1.4758
ASAI28,161.7,161.7,1036.538972,1.6171
ASAIA0,159.3,159.3,1019.31706,1.5932
ASAIA1,161.1,161.1,1056.575575,1.6106
ASAIA2,159.3,159.3,1022.696271,1.5926
ASAIA3,171.2,171.2,1020.442495,1.7121
AURE13,84.7,84.7,1045.459665,0.8473
AZZA11,123.0,123.0,1065.034771,1.2295
